,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7972,Cumbre Norteña,2014-01-07,Ya Te Olvide,4Kei85bJ7fiN9pG8Kkxh6f,37,0.111,0.716,181637,0.796,0.0,8,0.114,-4.338,1,0.0428,110.005,5,0.689
7973,Ludwig van Beethoven,2014-10-15,"Sonata No. 9 in A Major for Violin and Piano, Op. 47, ""Kreutzer Sonata"": I. Adagio sostenuto - Presto",4UpSi6Fg7kIJgO73kcTbBB,41,0.972,0.435,733840,0.191,0.317,9,0.0649,-14.09,0,0.049,129.798,4,0.122
7974,Kero Kero Bonito,2014-08-25,Pocket Crocodile,4VnQOG9t85ufBpFOtip3nd,38,0.0131,0.671,115556,0.722,0.00169,5,0.0929,-5.502,1,0.0671,108.04,4,0.169
7975,Wade Bowen,2014-10-28,When I Woke up Today,5M2Gfbf4Akuhq6jZEwEYLS,36,0.000968,0.534,202236,0.843,2.1e-05,1,0.0861,-7.144,1,0.0328,134.4,4,0.748
7976,Conjunto Rio Grande,2014-09-16,De Que Me Sirve la Vida,5XbY2hCwUhnvwEryHhyArp,38,0.342,0.656,162471,0.844,1.62e-06,0,0.086,-4.539,1,0.0451,108.728,4,0.865
7977,Chet Baker,2014-08-18,Tenderly,5fqgjglk3n5ynmrO7kY7G9,44,0.97,0.494,362750,0.191,0.911,3,0.123,-13.463,1,0.0312,59.7,4,0.206
7978,T. Powell,2014-02-27,"Clear Eyes, Full Heart (Can't Lose)",6X8OPQ3cjxlacF535CSOs1,43,0.588,0.631,176537,0.876,0.0,9,0.245,-3.685,1,0.2,74.953,4,0.557
7979,David Guetta,2014-11-24,Bang My Head (feat. Sia),6z7HKLe33Nxca2w3WmXBoK,35,0.241,0.521,233267,0.763,0.0,9,0.662,-3.691,0,0.0602,123.926,4,0.416
7980,Alice Kristiansen,2014-06-30,The One That Got Away,1C73pwKiXBSJMnSRmbDdB6,47,0.972,0.42,248276,0.169,6.34e-06,3,0.0768,-11.462,1,0.0426,116.027,4,0.203
7981,La Dinastía de Tuzantla Michoacán,2014-05-20,Sin Sangre en las Venas,1gkHoXT1aH1f8S0rFCYtfo,37,0.594,0.7,190400,0.277,3.46e-05,7,0.132,-10.474,1,0.13,125.287,4,0.952
7982,Jóhann Jóhannsson,2014-11-04,"London, 1988",2g09gJN4OcTGr32JlENOPk,37,0.733,0.172,172694,0.0939,0.913,7,0.15,-21.306,1,0.0355,77.213,4,0.0374
7983,Cherub,2014,Lifesaver,2kdKjV7WGk5XxNLifcqjKu,36,0.595,0.822,214160,0.743,0.000192,5,0.0576,-4.954,1,0.105,117.003,4,0.619
7984,U2,2014-01-01,The Troubles,36Yw1hE6Ktp1SrrclWWsjZ,38,0.0427,0.397,285843,0.542,0.00575,5,0.117,-9.699,1,0.0295,150.189,4,0.509
7985,Coldplay,2014-11-21,"Magic - Live at the Enmore Theatre, Sydney",3bVwuZb0nYvAMn3roElQnY,56,0.18,0.5,292147,0.502,0.0887,6,0.729,-11.775,0,0.0424,93.361,4,0.362
7986,The Kiboomers,2014-05-09,Here Is the Beehive,3p6CW51QoKHIsClbPbzaDA,43,0.599,0.772,104560,0.489,2.48e-05,2,0.265,-9.905,1,0.0273,95.996,4,0.81
7987,Of Mice & Men,2014-01-24,Break Free,42EfeKhnVCyCjiNKxC3nDT,40,0.000368,0.256,209453,0.953,8.8e-06,0,0.0824,-4.89,0,0.118,88.85,3,0.359
7988,GOT7,2014-06-23,Forever Young,5JGKtiiv6BUB3EeSgWSAMr,47,0.127,0.75,224947,0.663,2.07e-06,10,0.115,-5.142,1,0.0319,155.993,4,0.869
