,Unnamed: 0,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
5755,5983,Jeezy,2017-12-15,"Pressure (feat. Kodak Black, YG)",0FYnCLn7KHJs3B4dtptVbR,48,0.0563,0.697,260307,0.56,0.0,1,0.141,-8.207,0,0.243,77.452,4,0.376
5756,5984,.Sinh,2017-11-26,Bridges,6wkTnl4q7qznX2JG0ZDlkg,51,0.589,0.644,112786,0.258,0.946,7,0.0807,-20.552,0,0.0534,166.356,4,0.207
5757,5986,Hippie Sabotage,2017-12-15,Righteous,4E8pY7RmcGQl4K18yrBaI2,51,0.457,0.636,292206,0.413,0.647,1,0.0764,-12.497,0,0.0318,138.067,4,0.393
5758,5987,Avicii,2017-08-10,You Be Love (feat. Billy Raffoul),630svau24EHHzw1kNk0Bdq,60,0.0397,0.824,207546,0.471,0.00631,4,0.078,-7.615,0,0.0411,124.99,4,0.553
5759,5988,The Jungle Giants,2017-07-07,On Your Way Down,6ECcJlfjh2F1LJxe74qKnJ,62,0.00307,0.721,225000,0.782,0.0256,7,0.0628,-5.257,1,0.0423,148.988,4,0.62
5760,5990,Philanthrope,2017-01-25,Pueblo,2eWWCA3hVbGTzMZnFIDrfO,53,0.655,0.402,135000,0.355,0.437,11,0.145,-7.978,0,0.334,164.456,4,0.283
5761,5991,Ocean Sounds,2017-07-10,"Calming Ocean Sounds - Loopable, No Fade (feat. Nature Sounds)",3GgbkH0ADrNE5JFHO0BGWj,48,0.854,0.235,60000,0.999,0.831,9,0.947,-28.834,1,0.0374,49.821,4,1e-05
5762,5992,Jidenna,2017-02-17,Little Bit More,6GThlJMipYoArMwCVsuQYD,51,0.0308,0.722,206040,0.728,2.07e-05,11,0.1,-4.999,1,0.0388,104.994,4,0.654
5763,5993,Hippie Sabotage,2017-05-19,Lights Out,7zc9r8xhooP5gE4gQrnv1t,52,0.112,0.623,256641,0.499,0.71,3,0.0933,-9.238,0,0.0528,143.92,4,0.267
5764,5994,Dirty Palm,2017-11-08,Oblivion,1VLRz4mIP1o8YwPgqGFqPs,60,0.005,0.55,230625,0.926,0.00353,6,0.305,-4.002,0,0.0795,128.069,4,0.241
5765,5995,Lil Baby,2017-08-24,Days Off,24ewsi0MEMUHXMrdQT2t7W,49,0.0156,0.465,183307,0.644,0.0,1,0.157,-8.325,0,0.379,111.038,5,0.761
5766,5996,Joey Bada$$,2017-04-07,BABYLON (feat. Chronixx),3Zll5MbCF6D7Tg7lsH9KYI,53,0.555,0.505,336333,0.695,0.0,10,0.326,-4.8,1,0.332,173.468,4,0.393
5767,5997,Slobodan Pilic,2017-06-01,Pavane Pour Une Infante Défunte,7FX56cXUnJdkOJ1VjS6VtY,53,0.992,0.67,143752,0.0747,0.939,7,0.118,-21.058,0,0.122,94.134,4,0.308
5768,5998,AKTHESAVIOR,2017-12-05,Melting Amethyst,1WcwRRRaRSjwiVUJpgBu7m,50,0.83,0.696,199365,0.536,1.09e-05,3,0.131,-10.187,0,0.0564,130.019,4,0.704
