,artist_name,track_name,track_id,popularity
132,Post Malone,Allergic,1YscJ7yVTlFxW3eF6pv5ba,83
133,Jonas Brothers,Only Human,0DiDStADDVh3SvAsoJAFMk,88
134,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,87
135,Shawn Mendes,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,88
136,Kanye West,Jesus Is Lord,7sBgFMWqDWQgrsNSpIBoe8,82
137,Noah Cyrus,July,5a6pdCHlWS2ekOOQ70QnAr,85
138,Taylor Swift,I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,83
139,Dreamville,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",5WnfnSpuNEGXyEt78PBA6d,81
140,The Chainsmokers,Call You Mine,1SNiXDwSilLujcYdvfqVpT,87
141,Doja Cat,Juicy,7qvsl2pYzrsYgPeFBN5jxp,82
142,Post Malone,Staring At The Sun (feat. SZA),5KE9b4x7Zj2A8XtbkqhqTe,83
143,Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),6MF4tRr5lU8qok8IKaFOBE,81
144,YoungBoy Never Broke Again,Hot Now,3eeyKNIBrt5TH4y0y3QkOu,79
145,Billie Eilish,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,86
146,Lizzo,Juice,0k664IuFwVP557Gnx7RhIl,83
147,YNW Melly,Mixed Personalities (feat. Kanye West),6vWEAOUSxohKxhp0K1BsxL,82
148,A Boogie Wit da Hoodie,Mood Swings,2xE16muNCmhZwSOv3i1d1H,81
149,5 Seconds of Summer,Teeth,1JRK7srBWUtAW7dPabKBwJ,87
150,Katy Perry,Never Really Over,5PYQUBXc7NYeI1obMKSJK0,88
151,Miley Cyrus,Slide Away,44ADyYoY5liaRa3EOAl4uf,87
152,Jonas Brothers,Sucker,4y3OI86AEP6PQoDE6olYhO,87
153,Ariana Grande,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,86
154,Blueface,Daddy (feat. Rich The Kid),4hanO6Du5J7QEguNHYZHmw,82
155,Frank Ocean,DHL,2INhKpUdzh7v0j041gZNsz,82
156,Maren Morris,The Bones,3npzogdOEiVsieXmmhBepL,81
157,Taylor Swift,The Man,3RauEVgRgj1IuWdJ9fDs70,84
158,benny blanco,Graduation (with Juice WRLD),6cjSh516BbrNUs213jDAGm,82
159,Tainy,Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,93
160,Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,83
161,Young Thug,The London (feat. J. Cole & Travis Scott),3s4mrPrEFFPF0LmAfutW0n,83
162,Russ,BEST ON EARTH (feat. BIA),2Xo3rLHjXfdb4avN68aQyi,82
163,Ambjaay,Uno,3AEgic4yp82NxMWUjHtxnO,80
164,Billie Eilish,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,85
165,Jeremy Zucker,you were good to me,4CxFN5zON70B3VOPBYbd6P,83
166,Lil Tecca,Shots,6eSU1exzDvBEXmBRxspeh5,81
167,Katy Perry,Harleys In Hawaii,5nCthAh3jt4xKuLJAifAaR,87
168,Lunay,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,90
169,Chris Brown,No Guidance (feat. Drake),7FEwp8BavoEVE3AnxJDchc,83
170,Post Malone,Myself,2cvOfKHOHgwQlLiuLKP2xR,82
171,Lil Nas X,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,82
172,iann dior,gone girl,6G0FACzGN80Dj2v4ass5rq,81
173,Billie Eilish,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,86
174,Ashnikko,STUPID (feat. Yung Baby Tate),6qNB2ChCVPepl5ZjVJJTUW,83
175,Frank Ocean,In My Room,4S4Mfvv03M1cHgIOJcbUCL,80
176,Trippie Redd,Love Me More,2NSWi83peog6gHerzlMCqU,78
177,Kehlani,Nights Like This (feat. Ty Dolla $ign),6ZRuF2n1CQxyxxAAWsKJOy,81
178,Luke Combs,Even Though I'm Leaving,3sVLgsSTHRu483w6QciloO,79
179,A$AP Rocky,Babushka Boi,643PW82aBMUa1FiWi5VQY7,82
180,Khalid,Right Back (feat. A Boogie Wit Da Hoodie),6PYnUsNEpYC7A4BS2sjw3L,83
181,NLE Choppa,Shotta Flow,4dAMdQ6g4kGmnc1MDHsg77,79
